Date,User,Tweet
2022/01/01,CryptoNerdApp,current price bitcoin 46320 1 85 btc more information about bitcoin
2022/01/01,MadStudentScie1,generating misunderstanding bitcoin
2022/01/01,CryptoNerdApp,current price cardano 1 31 3 49 ada more information about cardano
2022/01/01,HourlyBTCUpdate,bitcoin 46197 31 122 01 last 1 hour 0 26 455 49 last 5 hours 0 98 932 35 last 24 hours 1 98 powered by api
2022/01/01,TrendSpider,btc continues bounce off ytd anchored vwap
2022/01/01,takeoff_tech,tko token tko token will be utility token service fees provided by startups supported by takeoff centre more startups takeoff takeoff centre more value tko token gets
2022/01/01,WIRTUALapp,happy new year 2022 experience new way exercise with wirtual through exercise earn which transforms your sweat into cryptocurrency
2022/01/01,BufoBitcoin,is currently 46 230 6131
2022/01/01,CharlieShrem,most people underestimate impact will have individual sovereignty personal freedom
2022/01/01,BitcoinScoresby,happy new year
2022/01/01,Bitcoin_Rambo1,happy new year er s remember that was 28k last new years love this community look forward 2022
2022/01/01,CarbonaraIndex,price spaghetti alla carbonara is 23 814 satoshis or 0 00023814 btc 1 btc 46 150 00 usd 1 usd 2 167 sat friday 31 december 2021 06 00 pm cst
2022/01/01,topcryptostats,bitcoin btc price 46 306 45 change 1h 0 21579246 market cap 875 939 356 678 78 ranking 1
2022/01/01,SellFiat,with e currency based cryptographic proof without need trust third party middleman money can be secure transactions effortless
2022/01/01,TokenJay,am i only one expecting big things tomorrow reddit
2022/01/01,bitcoin_bunnies,my token is gonna be huge
2022/01/01,bitcoinrate247,average bitcoin market price is usd 46 249 56 eur 40 693 66
2022/01/01,trades_equity,it is good signal cryptocurrency growth so why you are not trtading crypto if you are scared loss join our discord server take our trading signals earn handsome profits join now
2022/01/01,MertiumCrypto,bitcoin faces year end technical test after its december swoon news source more trending crypto finance news please visit
2022/01/01,torshis,top gaining cryptocurrency this hour 1 ach or 2 keep or 3 mask or 4 amp or 5 zec or 6 tru or 7 xtz or 8 poly or 9 skl or 10 pla or show more
2022/01/01,BTCticker,one bitcoin now worth 46214 37 high 48589 470 low 45655 310 market cap 874 202 billion
2022/01/01,TheDripStar,after calling macro market correction ceo devere updates outlook bitcoin altcoin market cryptocurrency sponsor
2022/01/01,reviewpunk,what if we re right about bitcoin
2022/01/01,BTCticker,one bitcoin now worth 46230 613 market cap 874 509 billion based bpi
2022/01/01,BTCticker,one bitcoin now worth 46214 37 high 48589 470 low 45655 310 market cap 874 202 billion
2022/01/01,Reuters,meme stock mayhem cryptocurrency chaos elon musk everywhere you look heres roundup 2021 numbers
2022/01/01,SurfingDoge,dogecoin bearish momentum momentum is now decreasing bearish direction current price 0 1703
2022/01/01,SimpleSwap_io,dear friends team wishes you fabulous cheers health prosperity 2022
2022/01/01,satosh354,i love you shib just as good as bitcoin
2022/01/01,BTCtoCAD,price canadian dollar btc xbt btccad btc price now 58 575 29 cad avg last hour 58 746 53 avg 24 hours 60 196 83 24h change 2 45 24h low 57 964 94 24h high 61 864 96 more information here
2022/01/01,coins_podcast,bitcoin works because you cannot spend money that is somebody elses wallet you cant double spend bitcoin technology has made it so that is more or less impossible podcast ep 3 birth bitcoin watch now
2022/01/01,BitcoinAverage,bitcoinaverage bitcoin price index 46227 3
2022/01/01,CFDTrading1,volatility ruled crypto markets 2021 69k bitcoin elon musks dogecoin moooonn
2022/01/01,coinok,1 btc price bitstamp 46214 37 usd 2021 12 31 19 00
2022/01/01,BTC_AI_bot,sell bitcoin btc 46216 93
2022/01/01,CFDTrading1,bitcoin closes lucrative year with whimper crypto news al jazeera
2022/01/01,Broadcastnow1,next block fee rate 1 sat vbyte half hour fee rate 1 sat vbyte hour fee rate 1 sat vbyte you can broadcast now your bitcoin transaction
2022/01/01,bitcoin_fees,fastest 1 sat vb 0 06 half hour 1 sat vb 0 06 hour 1 sat vb 0 06 minimum fee 1 00 sat vb 0 06 pending transactions 140
2022/01/01,nathankilv1,bitcoin closes lucrative year with whimper crypto news al jazeera
2022/01/01,btcreports,dec 31 2021 04 00pm price usd 47229 90 eur 41568 13 jpy 5450477 45
2022/01/01,AirdropCartel,crypto 2021 year review part 4 read
2022/01/01,UptheMiddleGolf,thinking about finally investing cryptocurrencies get 20 off transaction fees every transaction you make sign up using link below
2022/01/01,fixtheblock,stats every hour block 716598 hashrate 179 78 eh s price last 24h 46426 10 fast fee 1sat slow fee 1sat tx unconfirmed 477 diff 24t diff change block 717696 next diff 1098 blocks
2022/01/01,tictoknextblock,block 716598 31st dec 2021 23 59 06 gmt 902 tx with value 23 616 280 1 09b distributed 2 967 recipients 18 916 243 75 90 07735 mined 2 083 756 25 remaining
2022/01/01,ashuntca,tested positive covid today what way end this shit show year good news is i m still early into game
2022/01/01,KiloOneWorld,click link below earn 10 commission your trades
2022/01/01,playbitkong,attention explorers happy weekend started get 4 credits every 5 minutes best luck thank you always choosing
2022/01/01,iguanasoft,46 211 24 fri december 31st 2021 utc btc closing gain summary 1d 910 85 1 9 1w 4 630 82 9 1 1m 10 787 11 18 9 3m 2 382 35 5 4 6m 12 700 31 37 9 1y 17 313 82 59 9 2y 39 045 52 544 9 5y 45 237 87 4 647 6
2022/01/01,playluckydice,hey all time travelers happy weekend is almost here get 2 credits every 5 minutes best luck thank you always choosing
2022/01/01,Defimade,its 2022 bitcoin is still not at 100k lol
2022/01/01,kurneoldu,03 00 bitcoin 46 331 69
2022/01/01,BitShapiro,even if were backed by something it would still be worth whatever person is willing trade it because underlying asset is constrained by same rules all value is imaginary bitcoin is most secure most efficient way store move that value
2022/01/01,ScurCoin,super happy new year 2021 was year preparation be ready super thank you joining us your financial freedom journey
2022/01/01,r_topisto,s last block height 716598
2022/01/01,DeFiCoins5,happy new year defi coins team wishes you year filled with excellent investment health we are excited start new year with you 2022 here we come
2022/01/01,Dollar2Satoshis,dollar 2 satoshi last price eur 2438 085sats gbp 2899 968sats jpy 18 618sats krw 1 803sats usd 2143 076sats
2022/01/01,lwx101,bitcoin mining
2022/01/01,TradingTrendsUK,following coins fell rank down top 100 by market cap polkadot new moved down 1 place s ftx token moved down 1 place s bitcoin bep2 moved down 1 place s internet computer moved down 2 place s iota moved down 1 place s eos moved down 1 place s flow mov
2022/01/01,NftDropsCal,holy grail nezha artwork by sahredtoy sold tobuyether 4 5 eth 18 190 62
2022/01/01,BSCNews,8 040 gen 0 nfts hotcross blockchain ecosystem have been rolled out will have unique use cases come year 2022
2022/01/01,wbg_gov,did you know that researchers practitioners found benefits aren t limited such as what are other benefits read more here
2022/01/01,bmurphypointman,purchases over 25 at
2022/01/01,bmurphypointman,purchases over 25
2022/01/01,atifm2078,as pro gold you should be talking more about gold than worrying about bitcoin
2022/01/01,ebo9786,tomorrow is first day year buy bitcoin
2022/01/01,success_base,cryptocurrency airdrop 30 plus free 3 each referrals withdrawal available sept 1 2020
2022/01/01,frantisekjuris,microstrategy remains one step ahead with 94m bitcoin purchase
2022/01/01,bot_blockchain,total number bitcoin transactions past 24 hours was 268164
2022/01/01,BtcPulse,btc hourly update 46291 05 0 24 btc
2022/01/01,CryptoWatchBot,best risk adjusted returns past 24 hours 1 avax 2 xmr 3 atom
2022/01/01,incryptoo_com,non fungible token nft assets were extremely popular this year date there s been more than 20 billion volume recorded terms nft sales among 100 collections while many single nf
2022/01/01,CryptoWatchBot,561 5 this optimal portfolio 461 5 past 24 hours would have given you 167 2 return rather than 35 9 same level
2022/01/01,btcsentimentCOM,whales vs last 4 hours exchange transactions clarification are all incl are example etc without any automated tweet
2022/01/01,takeoff_tech,tko token tko token will be used takeoff news search takeoff exchange it will be one base assets takeoff exchange
2022/01/01,day_bitcoin,bitcoin dollar
2022/01/01,MagicInternetM1,already 2022 happy new year
2022/01/01,CryptoonyDraw,fiat system is die hard but is like john mcclane just fly ointment monkey wrench pain asssss btc
2022/01/01,mattdorta,if bitcoin wins entire ecosystem wins
2022/01/01,mindfulbtcboss,happy new year you all cant wait see what 2022 brings
2022/01/01,wise_bitcoin,too hard choose
2022/01/01,bitcoin_369,1700 xrp man original painting 1of 3 36x36
2022/01/01,CancelVinci,all bitcoin liquidity is goin vinci nfts if u check chain idk thts what i heard
2022/01/01,coinhippoHQ,todays price is 46 320 1 85 yesterday btc
2022/01/01,ddp113,pump it
2022/01/01,bitcoin_bottle,happy new year everyone uk
2022/01/01,EINMiningNews,bitcoin btc fluctuation hashrate is tied its inflation rate analyst at compass mining explains
2022/01/01,CryptoRachy,welcome 2022
2022/01/01,WizardMoney0x1,new technical analysis chart tradingview btc eth
2022/01/01,noahglobalceo,so dont miss out getzen is giving away completely free zen cryptocurrency theres no download necessary claiming is fast simple funds are limited so get yours today
2022/01/01,MrBitcoiner,happy new year 2022 should be awesome all holders
2022/01/01,Bitcoin_Rambo1,lol happy new year
2022/01/01,ExchangeWhales,2 865 340 btcusdt longed 46 260 69 0 00 51 utc
2022/01/01,CryptoDailySun,bitcoin price reverses gains new year s eve hodlers continue stacking sats
2022/01/01,intocryptoverse,has started new yearly candle
2022/01/01,BtcHalvingTimer,41 24 blocks left 123 402 days left 856
2022/01/01,opsec21,jack bought dip
2022/01/01,leafygreenschw,leafygreens found user vault at this location join me playing its awesome
2022/01/01,kalkine_ca,10 crypto friendly cities that may grow as hotspots 2022
2022/01/01,CoinPumpInfo,daily technical analysis candle pattern no pattern detected learn more at
2022/01/01,takeoff_tech,tko token you can get tko top 30 exchange takeoff project p2pb2b
2022/01/01,KraZeMike83,always appreciated when people lose their keys ensures that will never go back 0 ever again thank you max
2022/01/01,weeblueghost,btc price 46 264 34 190 21 61 naks per usd 29 25 naks per gbp lt dropping gt when 1 1 we shall have 1m dollar bitcoin when 1 nak 1 gbpound then 1m etc 01 01 2022 00 01 04 gmt
2022/01/01,irstaxexpert,bitcoins latest plunge highlights dangers crypto salary
2022/01/01,cryptocharts,thoughts btc see satoshisacamocos idea tradingview below
2022/01/01,Krypto_Kiwi_,it is next big cryptocurrency huge suite utilities launching soon so 2022 is going be breakout year egc see it going top 10
2022/01/01,farcialities,did people forget that amogus meme was edit bitcoin will never crash comic he made
2022/01/01,timepricetravel,btc last day week if it closes below daily lows most likely heading down 39 40k next week before getting decent bounce if it rises closes near 50 level then im back my view retesting 59k level january
2022/01/01,CryptoNewsYes,2022 peak high prediction
2022/01/01,birdseyeball,my average cost bitcoin is 1 32 cost electricity mine it my laptop 2011 you re late game saylor btc is dying technology is future
2022/01/01,CryptoCapflow,by 2021 12 31 14 00 gmt 1inch had price change 0 1 with net cap flow 2m last 24 hrs 1inch
2022/01/01,LukeDashjr,2017 miners attempted assert control over protocol failed thanks later exchanges attempted assert control over protocol failed again
2022/01/01,FeelingNgU,this guy has sad life what does end used everyday people are choosing hold it over spending it because they know fiat is going zero while their bitcoin increases value arguing this point this far is re tarded
2022/01/01,TonySop94020923,bitcoin is correlated nasdaq 100 all excess liquidity
2022/01/01,Biteris_,bitcoin lengthening cycle theory bitstamp via
2022/01/01,KevinSvenson_,yearly close monthly close daily close have all just taken place happy new year i m excited see what happens first daily candle 2022 good or bad rich or poor i m riding this roller coaster with you all thank you all recent support
2022/01/01,Crypto_Mags,this is not what we mean by put your cold storage
2022/01/01,CryptoCapflow,by 2021 12 31 15 00 gmt cro futures long rate is 51 44 short rate is 48 56
2022/01/01,lootnft,glimpse upcoming ltt
2022/01/01,XryptoKire,2022 u shids lfg
2022/01/01,thehumbleoracle,looks like were losing support think btc is still downtrend last pump was bull trap im selling my partial bags staying cash
2022/01/01,OnChainCollege,closes 2021 at 46 2k varies by exchange
2022/01/01,CryptoCapflow,by 2021 12 31 14 00 gmt omg total trading volume 13 919 226omg with price change 0 2 last 24 hrs omg
2022/01/01,AxonBTC,sat jan 01 axon is long confidence 36 54
2022/01/01,LeagueShiba,not bitcoin
2022/01/01,taskmaster4450,i foresee entire cryptocurrency landscape changing over next year many long held economic truths cryptocurrency are being shown be false we need new cryptonomic systems start emerge this is going happen i believe
2022/01/01,ExchangeWhales,1 832 794 btcusdt shorted 46 266 34 0 01 42 utc
2022/01/01,PLURcoin_,that s wrap 2021 was big year plurcoin its inception hitting milestone 550 million coins claimed we can t wait show you what we have store 2022 future is plur
2022/01/01,Crypto_lover999,interesting closes monthly yearly bitcoin charts will be super bullish after this
2022/01/01,sweetburgercom,block 533206 bytes 902 transactions 6 28980554btc 290 518 reward more information visit
2022/01/01,KreczmerJai,first fish big 8lb catfish then 19in redfish speckled trout 4 mango snappers extra tired some real nice keepers had sell almost all my satoshi only 80 left i just had decide what was more important holding bitcoin or not starving food won robert
2022/01/01,tecknow,i feel kind bad giving only negative answer not cryptocurrency style blockchains internet where anyone can run server off raspberry pi their closet is much better footing decentralization than one like we have now but with blockchain
2022/01/01,CorieBouldin,earn passive every day no recruiting technical skills or experience required
2022/01/01,BitcoinZ_Art,last coin 2021 bitcoin is plumbing coin only 50 coins minted they will have run token contract partially laser etched along with coin number coin coin with nft or nft alone
2022/01/01,GemCoinx100,btc happy new year
2022/01/01,OverheadGains,fear amp greed sentiment change now extreme fear 21 46217 yesterday fear 28 47121 1 92 last week fear 39 50820 9 06 last month fear 32 57184 19 18 btc
